Time,G1 - Min,G1 - Max,G1 - Cost
23/01/2019 08.00,0,1600,0.08838
23/01/2019 09.00,0,1600,0.0841
23/01/2019 10.00,0,1600,0.08535
23/01/2019 11.00,0,1600,0.08225
23/01/2019 12.00,0,1600,0.0765
23/01/2019 13.00,0,1600,0.07097
23/01/2019 14.00,0,1600,0.06885
23/01/2019 15.00,0,1600,0.07458
23/01/2019 16.00,0,1600,0.08224
23/01/2019 17.00,0,1600,0.08775
23/01/2019 18.00,0,1600,0.08503
23/01/2019 19.00,0,1600,0.06225
23/01/2019 20.00,0,1600,0.05806
23/01/2019 21.00,0,1600,0.05755
23/01/2019 22.00,0,1600,0.05683
23/01/2019 23.00,0,1600,0.05496
24/01/2019 00.00,0,1600,0.05598
24/01/2019 01.00,0,1600,0.0558
24/01/2019 02.00,0,1600,0.05557
24/01/2019 03.00,0,1600,0.05533
24/01/2019 04.00,0,1600,0.0558
24/01/2019 05.00,0,1600,0.06005
24/01/2019 06.00,0,1600,0.07598
24/01/2019 07.00,0,1600,0.0967
24/01/2019 08.00,0,1600,0.09583
24/01/2019 09.00,0,1600,0.10767
24/01/2019 10.00,0,1600,0.09806
24/01/2019 11.00,0,1600,0.10037
24/01/2019 12.00,0,1600,0.09518
24/01/2019 13.00,0,1600,0.08967
24/01/2019 14.00,0,1600,0.0877
24/01/2019 15.00,0,1600,0.08828
24/01/2019 16.00,0,1600,0.09501
24/01/2019 17.00,0,1600,0.09754
24/01/2019 18.00,0,1600,0.0925
24/01/2019 19.00,0,1600,0.07338
24/01/2019 20.00,0,1600,0.06035
24/01/2019 21.00,0,1600,0.05975
24/01/2019 22.00,0,1600,0.05845
24/01/2019 23.00,0,1600,0.05719
25/01/2019 00.00,0,1600,0.05732
25/01/2019 01.00,0,1600,0.05647
25/01/2019 02.00,0,1600,0.05595
25/01/2019 03.00,0,1600,0.05544
25/01/2019 04.00,0,1600,0.05528
25/01/2019 05.00,0,1600,0.05898
25/01/2019 06.00,0,1600,0.06939
25/01/2019 07.00,0,1600,0.08448
25/01/2019 08.00,0,1600,0.0939
25/01/2019 09.00,0,1600,0.09065
25/01/2019 10.00,0,1600,0.08296
25/01/2019 11.00,0,1600,0.078
25/01/2019 12.00,0,1600,0.06906
25/01/2019 13.00,0,1600,0.06512
25/01/2019 14.00,0,1600,0.06265
25/01/2019 15.00,0,1600,0.06222
25/01/2019 16.00,0,1600,0.06508
25/01/2019 17.00,0,1600,0.06673
25/01/2019 18.00,0,1600,0.06348
25/01/2019 19.00,0,1600,0.05728
25/01/2019 20.00,0,1600,0.05543
25/01/2019 21.00,0,1600,0.05436
25/01/2019 22.00,0,1600,0.05359
25/01/2019 23.00,0,1600,0.05235
26/01/2019 00.00,0,1600,0.05191
26/01/2019 01.00,0,1600,0.05152
26/01/2019 02.00,0,1600,0.05098
26/01/2019 03.00,0,1600,0.05085
26/01/2019 04.00,0,1600,0.05152
26/01/2019 05.00,0,1600,0.05201
26/01/2019 06.00,0,1600,0.05244
26/01/2019 07.00,0,1600,0.05335
26/01/2019 08.00,0,1600,0.05399
26/01/2019 09.00,0,1600,0.05628
26/01/2019 10.00,0,1600,0.05862
26/01/2019 11.00,0,1600,0.05918
26/01/2019 12.00,0,1600,0.05672
26/01/2019 13.00,0,1600,0.05616
26/01/2019 14.00,0,1600,0.05461
26/01/2019 15.00,0,1600,0.0541
26/01/2019 16.00,0,1600,0.05517
26/01/2019 17.00,0,1600,0.05673
26/01/2019 18.00,0,1600,0.05792
26/01/2019 19.00,0,1600,0.05511
26/01/2019 20.00,0,1600,0.05306
26/01/2019 21.00,0,1600,0.05242
26/01/2019 22.00,0,1600,0.05192
26/01/2019 23.00,0,1600,0.05114
27/01/2019 00.00,0,1600,0.05148
27/01/2019 01.00,0,1600,0.05102
27/01/2019 02.00,0,1600,0.05071
27/01/2019 03.00,0,1600,0.05066
27/01/2019 04.00,0,1600,0.05076
27/01/2019 05.00,0,1600,0.05084
27/01/2019 06.00,0,1600,0.0514
27/01/2019 07.00,0,1600,0.05146
27/01/2019 08.00,0,1600,0.05145
27/01/2019 09.00,0,1600,0.05166
27/01/2019 10.00,0,1600,0.05261
27/01/2019 11.00,0,1600,0.05264
27/01/2019 12.00,0,1600,0.05225
27/01/2019 13.00,0,1600,0.05204
27/01/2019 14.00,0,1600,0.05205
